,cleanwords
1806,lieutenant
1807,hector
1808,campbell
1809,son
1810,brave
1811,officer
1812,scottish
1813,regiment
1814,fell
1815,la
1816,rochelle
1817,present
1818,attached
1819,household
1820,ride
1821,italy
1822,day
1823,tomorrow
1824,campbell
1825,gentleman
1826,colonel
1827,estampes
1828,head
1829,staff
1830,major
1831,mutton
1832,have
1833,control
1834,matters
1835,connected
1836,artillery
1837,messieurs
1838,de
1839,lisle
1840,emile
1841,de
1842,chavigny
1843,aides
1844,de
1845,camp
1846,gentlemen
1847,mount
1848,nas
1849,scottish
1850,regiment
1851,mounted
1852,hector
1853,had
1854,had
1855,ample
1856,opportunities
1857,learn
1858,ride
1859,fell
1860,aides
1861,de
1862,camp
1863,young
1864,men
1865,eighteen
1866,nineteen
1867,years
1868,age
1869,members
1870,good
1871,families
1872,followed
1873,viscount
1874,turenne
1875,rode
1876,ahead
1877,staff
1878,officers
1879,making
1880,narrow
1881,streets
1882,paris
1883,rode
1884,slowly
1885,passed
1886,gates
1887,brisk
1888,pace
1889,fortunate
1890,de
1891,lisle
1892,having
1893,obtained
1894,commission
1895,young
1896,similar
1897,age
1898,army
1899,fortunate
1900,hector
1901,replied
1902,fortunate
1903,have
1904,believed
1905,goodness
1906,viscount
1907,turenne
1908,enter
1909,army
1910,patronage
1911,de
1912,chavigny
1913,have
1914,served
1915,years
1916,rhine
1917,had
1918,been
1919,brothers
1920,have
1921,been
1922,kind
1923,work
1924,ma
1925,foi
1926,tremendous
1927,soldiers
1928,general
1929,sleepless
1930,happily
1931,expect
1932,go
1933,altogether
1934,rest
1935,frequently
1936,night
1937,saddle
1938,takes
1939,rate
1940,get
1941,night
1942,sleep
1943,turns
1944,has
1945,worry
1946,ignorance
1947,carelessness
1948,have
1949,seen
1950,temper
1951,reproof
1952,mildly
1953,spoken
1954,dreaded
1955,volley
1956,abuse
1957,general
1958,telling
1959,drill
1960,arms
1961,have
1962,been
1963,brought
1964,scottish
1965,regiment
1966,father
1967,death
1968,officers
1969,men
1970,kind
1971,learnt
1972,drill
1973,soldier
1974,officer
1975,fence
1976,pistols
1977,ride
1978,officers
1979,lent
1980,books
1981,military
1982,history
1983,tactics
1984,viscount
1985,wonderfully
1986,read
1987,matters
1988,de
1989,lisle
1990,campaigns
1991,have
1992,part
1993,have
1994,vague
1995,idea
1996,things
1997,time
1998,joined
1999,learning
2000,arms
2001,equitation
2002,dry
2003,studies
2004,abbe
2005,latin
2006,had
2007,learned
2008,military
2009,history
2010,seems
2011,intended
2012,army
2013,good
2014,deal
2015,important
2016,latin
2017,theology
2018,fancy
2019,de
2020,lisle
2021,companion
2022,laughing
2023,know
2024,objection
2025,course
2026,study
2027,study
2028,altogether
2029,know
2030,case
2031,have
2032,been
2033,whipped
2034,learning
2035,see
2036,born
2037,lieutenant
2038,born
2039,scotland
2040,father
2041,younger
2042,son
2043,chance
2044,making
2045,sword
2046,home
2047,james
2048,go
2049,war
2050,regular
2051,army
2052,seemed
2053,opening
2054,penniless
2055,cadet
2056,england
2057,scotland
2058,obtained
2059,commission
2060,mother
2061,died
2062,years
2063,kept
2064,service
2065,left
2066,charge
2067,huguenot
2068,family
2069,have
2070,grown
2071,unable
2072,read
2073,write
2074,time
2075,rode
2076,la
2077,rochelle
2078,death
2079,adopted
2080,regiment
2081,good
2082,people
2083,left
2084,paris
2085,join
2086,friends
2087,south
2088,had
2089,been
2090,have
2091,stayed
2092,good
2093,man
2094,have
2095,brought
2096,minister
2097,afraid
2098,have
2099,made
2100,poor
2101,nthe
2102,young
2103,men
2104,laughed
2105,present
2106,de
2107,lisle
2108,religions
2109,get
2110,quietly
2111,cardinal
2112,churchman
2113,knows
2114,france
2115,great
2116,religious
2117,enmities
2118,cease
2119,wars
2120,reign
2121,cost
2122,tens
2123,thousands
2124,lives
2125,drove
2126,great
2127,numbers
2128,men
2129,refuge
2130,holland
2131,england
2132,benefit
2133,countries
2134,loss
2135,successor
2136,party
2137,france
2138,case
2139,have
2140,found
2141,vocation
2142,huguenot
2143,minister
2144,full
2145,danger
2146,soldier
2147,have
2148,been
2149,worse
2150,hector
2151,have
2152,been
2153,question
2154,fighting
2155,massacred
2156,know
2157,religious
2158,disputes
2159,politics
2160,regiment
2161,things
2162,talked
2163,men
2164,officers
2165,king
2166,time
2167,seemed
2168,cardinal
2169,had
2170,stopped
2171,persecution
2172,huguenots
2173,had
2174,gone
2175,war
2176,austrians
2177,prevent
2178,protestant
2179,princes
2180,germany
2181,altogether
2182,subjugated
2183,imperialists
2184,felt
2185,grateful
2186,course
2187,scotchmen
2188,side
2189,princes
2190,nigh
2191,half
2192,army
2193,gustavus
2194,adolphus
2195,composed
2196,countrymen
2197,suppose
2198,chavigny
2199,laughed
2200,cardinal
2201,have
2202,cared
2203,destruction
2204,protestant
2205,princes
2206,germany
2207,had
2208,been
2209,ruin
2210,make
2211,austria
2212,formidable
2213,long
2214,gustavus
2215,lived
2216,swedes
2217,hold
2218,imperialists
2219,france
2220,troubled
2221,matter
2222,swedes
2223,finally
2224,routed
2225,nordlingen
2226,seemed
2227,imperialists
2228,triumph
2229,protestant
2230,princes
2231,leaving
2232,confederacy
2233,make
2234,terms
2235,richelieu
2236,stepped
2237,see
2238,france
2239,past
2240,hundred
2241,years
2242,has
2243,been
2244,stamp
2245,protestantism
2246,uniting
2247,protestant
2248,holland
2249,sweden
2250,uphold
2251,protestant
2252,princes
2253,germany
2254,direction
2255,cardinal
2256,church
2257,rome
2258,riding
2259,huguenot
2260,general
2261,possesses
2262,cardinal
2263,confidence
2264,seems
2265,strange
2266,de
2267,lisle
2268,assuredly
2269,good
2270,policy
2271,fighting
2272,austria
2273,fighting
2274,spain
2275,austria
2276,spain
2277,branches
2278,empire
2279,spain
2280,eternal
2281,enemy
2282,formidable
2283,henry
2284,navarre
2285,triumph
2286,guises
2287,half
2288,emancipated
2289,influence
2290,english
2291,destroyed
2292,naval
2293,power
2294,holland
2295,nigh
2296,exhausted
2297,treasury
2298,brought
2299,discredit
2300,arms
2301,had
2302,suffered
2303,austria
2304,combined
2305,dominate
2306,europe
2307,account
2308,have
2309,place
2310,swedes
2311,continued
2312,war
2313,has
2314,raged
2315,years
